Game,Platform,Genre,Publisher,Year,Global_Sales_M,Critic_Score,User_Score,ESRB_Rating,Dev_Team_Size,Budget_MUSD,Region,Franchise,Metascore_Bucket
Robot Vintage 4,PS2,Indie,Silver Creations,2011,0.02,59,6.6,M,4,1.8,Other,False,Low
School Legends,Wii,Indie,Golden Entertainment,2010,0.07,78,7.1,E,6,2.4,EU,False,Mid
Think Saga,PS3,Puzzle,Mystic Labs,2016,0.06,86,8.6,T,5,3.8,NA,False,High
Phoenix Storm,WiiU,Action,Silver Works,2013,0.26,85,9.3,M,35,17.9,EU,True,High
Battle Adventure,WiiU,Strategy,Thunder Studios,2012,0.2,74,7.7,E,16,7.0,EU,False,Mid
Championship Tales,PS3,Fighting,Legendary Entertainment,2006,0.4,84,8.1,RP,22,8.8,NA,False,High
Resort Odyssey 5,PS5,Simulation,Cosmic Entertainment,2020,0.01,73,7.0,E,49,29.1,Other,False,Mid
Logic Stories,SNES,Puzzle,Stellar Entertainment,1998,0.15,69,6.8,E,4,1.5,JP,False,Mid
Games Stories,Switch,Party,Storm Games,2017,0.04,86,8.2,T,11,4.7,Other,False,High
Fox Kingdom,PS4,Role-Playing,Thunder Interactive,2018,1.68,64,6.3,T,39,17.8,NA,True,Low
Wolf World,Switch,Simulation,Red Entertainment,2018,0.24,63,5.7,E10+,10,2.8,EU,False,Low
Trophy Adventure: Revolution,PS4,Sports,Cosmic Productions,2019,1.55,81,7.8,RP,32,39.1,NA,False,High
Turbo Match,NES,Fighting,Cosmic Studios,1994,0.05,67,6.6,T,12,3.7,EU,False,Mid
Tournament Legends,PS3,Sports,Storm Interactive,2006,0.49,78,7.5,E10+,9,2.8,Other,False,Mid
Fox Command: Redemption,PS2,Strategy,Cyber Entertainment,2011,0.12,85,7.8,T,24,12.7,EU,False,High
Lap Saga,XOne,Racing,Neon Works,2020,0.17,77,7.4,T,40,24.1,NA,False,Mid
Blast Odyssey,N64,Shooter,Cosmic Games,2002,0.58,65,6.8,T,41,25.7,EU,False,Mid
Super Journey,PS4,Adventure,Blue Games,2013,2.13,82,7.7,E10+,49,44.7,Other,True,High
Sim Adventure,Switch,Simulation,Stellar Systems,2017,0.15,74,8.2,E10+,19,12.1,NA,True,Mid
Pirate Expedition,PS2,Adventure,Silver Creations,2012,0.2,80,8.0,E10+,17,6.8,EU,False,High
Force Stories,NES,Action,Stellar Systems,1989,0.58,82,7.7,E10+,35,34.0,EU,False,High
Collection Epic: Revolution,GC,Party,Legendary Entertainment,2007,0.2,72,7.1,RP,15,6.0,NA,False,Mid
Vintage Epic 5,XSX,Indie,Cosmic Labs,2020,0.06,69,7.1,M,23,11.4,EU,True,Mid
Cup Adventure,Wii,Sports,Digital Productions,2010,0.6,74,6.7,RP,20,12.9,JP,False,Mid
Logic Chronicles: Revelation,PS2,Puzzle,Storm Games,2012,0.06,75,7.5,E,5,2.9,Other,False,Mid
Duel Legends,N64,Fighting,Thunder Entertainment,2001,0.03,96,9.3,T,12,6.8,NA,False,Top
Combat Tales,PS2,Action,Neon Works,2012,0.35,85,8.2,E10+,33,20.6,JP,True,High
Explorer Odyssey: Rising,PS2,Adventure,Legendary Entertainment,2009,0.22,89,8.9,E,7,3.8,EU,True,High
Bundle Chronicles 5,N64,Party,Purple Studios,1996,0.09,60,6.7,T,20,6.3,EU,False,Low
Leap Legends,Switch,Platform,Cyber Entertainment,2017,0.53,78,8.1,T,17,6.7,JP,True,Mid
Storm Stories 2,PS2,Action,Digital Productions,2012,2.14,77,7.5,E,46,24.7,Other,True,Mid
Ring Quest,GC,Fighting,Crystal Designs,2007,0.19,54,5.6,T,14,9.5,NA,True,Low
Master Games,Switch,Party,Cosmic Entertainment,2017,0.27,95,8.8,M,22,10.0,EU,False,Top
Elite Battle: Rising,PS4,Action,Crystal Games,2014,2.32,82,9.0,E10+,41,15.3,EU,True,High
Cat Defense 2,Switch,Strategy,Digital Productions,2020,0.01,63,6.6,E,19,11.4,Other,False,Low
Vintage Saga,PS4,Indie,Neon Works,2018,0.01,85,8.4,E,44,21.6,Other,True,High
Indie Chronicles 4,PS5,Indie,Thunder Studios,2020,0.23,75,7.5,T,29,10.8,JP,True,Mid
Finish Epic 4,PS1,Racing,Stellar Entertainment,2005,0.08,61,5.9,E,16,7.2,EU,True,Low
Think Journey,PS4,Puzzle,Lightning Games,2013,0.11,63,7.2,M,18,20.9,JP,True,Low
Mouse Gun,X360,Shooter,Red Entertainment,2012,0.3,63,6.3,E,32,16.2,EU,False,Low
Mystery Legends,WiiU,Puzzle,Purple Labs,2014,0.07,66,6.9,E,3,0.9,JP,True,Mid
Adventure Stories,Switch,Adventure,Cosmic Entertainment,2017,0.01,68,7.5,E,16,3.5,NA,False,Mid
Bear Vintage 4,PS1,Indie,Green Designs,2005,0.14,75,7.7,T,6,1.4,JP,False,Mid
Speed Chronicles,Switch,Platform,Blue Designs,2017,1.49,84,7.9,T,23,6.4,NA,False,High
Think Saga 5,PS5,Puzzle,Storm Interactive,2020,0.26,81,8.2,E,26,6.9,JP,False,High
Power Saga,X360,Action,Epic Systems,2016,0.38,98,9.8,T,29,34.0,NA,False,Top
Gun Saga 3,XOne,Shooter,Stellar Systems,2019,0.46,43,4.9,E,28,18.1,EU,True,Low
Jump Adventure,PC,Platform,Blue Designs,2010,0.44,77,8.3,E,34,20.4,Other,True,Mid
School Epic,SNES,Indie,Thunder Studios,1998,0.05,64,6.5,T,3,2.0,NA,True,Low
Nitro Stories,X360,Racing,Crystal Entertainment,2013,0.22,66,6.6,T,14,5.7,NA,True,Mid
Monster Scope,XSX,Shooter,Purple Designs,2020,0.13,68,7.3,M,27,19.9,NA,False,Mid
Launch Epic: Rising,Switch,Platform,Cosmic Productions,2017,1.02,80,8.3,T,15,8.7,NA,False,High
Legends Saga,PS3,Adventure,Silver Creations,2017,0.02,69,7.1,M,22,15.7,EU,False,Mid
Raven Retro 4,X360,Indie,Thunder Studios,2016,0.26,78,8.1,M,3,1.3,EU,False,Mid
Hawk Track,SNES,Racing,Storm Games,1998,0.16,57,5.3,T,10,4.2,JP,True,Low
Super Drive 3,GC,Racing,Thunder Games,2007,0.37,74,7.7,E,17,5.3,Other,True,Mid
Trigger Epic,PS5,Shooter,Future Interactive,2020,2.57,70,6.3,T,62,82.0,JP,True,Mid
Shark Rage 4,PC,Action,Thunder Entertainment,2017,0.15,98,9.1,E,34,20.7,JP,True,Top
Alien Trophy,PS2,Sports,Cyber Entertainment,2012,1.12,75,8.0,E,19,11.4,Other,False,Mid
Rabbit Aim,N64,Shooter,Cyber Entertainment,2002,0.13,55,5.8,M,28,22.3,EU,False,Low
Assortment Stories,PS4,Party,Storm Studios,2013,0.27,85,8.0,E,54,41.3,JP,True,High
Pixel Epic,GC,Indie,Silver Creations,2007,0.14,57,5.6,T,5,2.4,JP,False,Low
Gate Stories 4,XOne,Role-Playing,Blue Designs,2018,3.19,80,8.4,E10+,64,40.1,Other,True,High
Mouse Bridge,PS5,Role-Playing,Blue Games,2020,0.32,55,5.4,E,65,44.7,JP,True,Low
Lord Dimension,XOne,Role-Playing,Thunder Games,2013,0.67,73,7.3,E,66,62.5,JP,False,Mid
World Journey,PC,Role-Playing,Future Interactive,2019,0.6,65,6.5,M,48,9.7,JP,True,Mid
Scorpion Game,N64,Sports,Purple Labs,2002,0.07,68,7.6,M,13,3.7,Other,True,Mid
Think Quest,Switch,Puzzle,Cosmic Labs,2019,0.22,48,5.6,T,5,2.7,EU,False,Low
Wolf Pixel,NES,Indie,Digital Productions,1994,0.32,95,9.0,E,5,2.9,Other,True,Top
Attack Epic,X360,Strategy,Purple Studios,2013,0.1,86,8.5,E,16,6.0,NA,True,High
Shot Stories 5,XSX,Shooter,Neon Designs,2020,0.51,93,9.0,E10+,58,68.7,EU,False,Top
Zoo Chronicles,PS5,Simulation,Digital Productions,2020,0.65,68,7.2,T,44,32.2,EU,False,Mid
Zoo Saga,Switch,Simulation,Silver Labs,2017,1.88,82,8.1,M,10,2.6,JP,True,High
Cup Tales,XSX,Sports,Silver Creations,2020,0.56,81,7.8,E,20,10.2,JP,True,High
Kingdom Odyssey,GC,Role-Playing,Legendary Entertainment,2006,0.08,69,8.2,M,36,9.0,Other,False,Mid
Mix Adventure,PS5,Party,Storm Studios,2020,1.25,98,9.5,M,30,19.3,JP,False,Top
Prince Rage,PS4,Action,Digital Productions,2013,0.95,73,8.2,E,71,49.7,NA,True,Mid
Dog Trigger,Switch,Shooter,Epic Systems,2017,0.69,70,6.9,E10+,14,5.9,Other,True,Mid
Knight World,XOne,Role-Playing,Thunder Studios,2013,0.05,90,9.8,E10+,80,40.0,JP,False,Top
Collection Adventure,XOne,Party,Digital Productions,2013,0.41,73,7.0,M,34,24.1,Other,False,Mid
Chronicles Chronicles: Revelation,PC,Adventure,Storm Studios,2018,0.01,72,8.1,M,44,11.4,NA,False,Mid
Leap Journey,NES,Platform,Storm Studios,1993,0.09,63,6.1,T,12,6.1,Other,False,Low
Mind Legends,XOne,Puzzle,Silver Labs,2013,0.14,65,7.3,E,24,26.4,JP,False,Mid
Monster Arcade,N64,Indie,Silver Labs,2002,0.17,79,7.5,M,7,2.6,Other,False,Mid
Restaurant Chronicles,XSX,Simulation,Green Systems,2020,0.61,71,7.0,E10+,68,80.3,EU,False,Mid
Alien Rage 5,PS5,Action,Blue Games,2020,0.68,72,7.6,T,38,30.5,EU,True,Mid
Jump Quest,N64,Platform,Neon Interactive,2002,0.27,73,6.4,T,12,5.3,Other,False,Mid
Super Classic,PC,Indie,Crystal Entertainment,2010,0.25,57,5.3,T,21,9.6,JP,False,Low
Legend Turbo,SNES,Racing,Purple Works,1998,0.05,73,7.6,RP,11,2.8,JP,False,Mid
Simple Saga,GC,Indie,Cosmic Labs,2005,0.36,76,7.5,T,4,1.6,NA,False,Mid
Expedition Adventure,XSX,Adventure,Purple Studios,2020,0.2,82,8.3,E10+,43,20.1,Other,False,High
Bridge Chronicles: Return,PS5,Role-Playing,Purple Studios,2020,0.16,85,8.6,T,44,20.5,JP,False,High
Scope Chronicles,XOne,Shooter,Legendary Entertainment,2013,3.33,72,6.9,E,44,24.5,EU,True,Mid
Season Stories,N64,Sports,Silver Labs,2002,0.01,68,6.6,E,16,7.5,NA,False,Mid
Life Stories,PS1,Simulation,Cosmic Productions,2005,0.23,70,6.2,M,19,10.7,NA,False,Mid
Championship Stories 4,GC,Fighting,Golden Entertainment,2001,0.02,63,4.9,E10+,16,6.5,Other,False,Low
League Epic,GC,Sports,Crystal Entertainment,2007,0.26,75,7.6,T,10,4.3,Other,False,Mid
Voyage Quest,Switch,Adventure,Thunder Studios,2020,0.45,88,8.8,T,9,5.5,EU,False,High
Finish Quest,X360,Racing,Thunder Entertainment,2016,0.39,67,7.4,M,13,8.2,Other,True,Mid
Combat Epic,PS4,Fighting,Neon Systems,2018,0.28,73,6.8,T,23,21.4,NA,True,Mid
Prince Fun,GC,Party,Neon Systems,2001,0.44,80,8.2,T,15,4.2,EU,False,High
Riddle Odyssey,PS4,Puzzle,Cyber Entertainment,2013,0.14,68,6.8,E10+,27,36.5,NA,False,Mid
Racing Epic 2,PS2,Racing,Digital Productions,2012,0.38,69,7.9,E,19,9.1,EU,False,Mid
Lion Fun,Wii,Party,Future Interactive,2013,0.02,68,5.9,M,12,6.5,JP,False,Mid
Launch Epic,N64,Platform,Purple Studios,2002,0.49,95,9.3,E10+,11,3.2,EU,False,Top
Turbo Chronicles 3,XSX,Racing,Blue Games,2020,0.03,73,6.7,M,34,23.5,JP,False,Mid
Restaurant Stories,X360,Simulation,Blue Designs,2013,0.5,76,8.1,E,8,2.4,JP,False,Mid
Fight Saga,XOne,Fighting,Digital Productions,2016,0.13,63,6.0,E10+,49,22.3,EU,False,Low
Turbo Combat,PS5,Action,Silver Labs,2020,1.1,77,8.2,E,46,44.9,NA,False,Mid
League Chronicles,NES,Sports,Cosmic Labs,1994,0.04,74,7.6,E10+,15,4.8,EU,False,Mid
Command Adventure,PC,Strategy,Silver Labs,1998,0.17,60,5.7,T,36,29.9,Other,True,Low
Empire Journey,GC,Role-Playing,Thunder Games,2001,0.7,80,8.8,M,30,12.0,NA,True,High
Elite Attack: Return,Switch,Strategy,Neon Systems,2017,0.99,95,9.8,T,7,1.9,EU,True,Top
Shot Adventure,XSX,Shooter,Neon Systems,2020,1.24,73,7.3,T,42,23.1,Other,False,Mid
Legend Explorer,WiiU,Adventure,Purple Designs,2012,0.06,74,7.4,T,20,10.6,Other,True,Mid
Arena Quest,N64,Fighting,Digital Productions,2002,0.01,76,6.7,E10+,11,5.7,Other,True,Mid
Elite Speed,PC,Racing,Storm Interactive,2005,0.14,58,5.6,T,12,3.8,Other,False,Low
Fun Journey,PS5,Party,Blue Games,2020,0.42,79,8.5,E,41,32.4,EU,False,Mid
Monster Pixel 5,PS4,Indie,Cosmic Labs,2019,0.64,84,9.0,E10+,22,11.3,JP,False,High
Hyper Siege: Revenge,SNES,Strategy,Silver Labs,1998,0.08,83,8.2,T,14,10.2,EU,False,High
Circuit Epic,Switch,Racing,Crystal Designs,2017,0.29,72,7.1,T,14,7.2,EU,False,Mid
Strategy Saga 3,PC,Strategy,Green Systems,1999,0.12,68,7.6,M,56,21.2,JP,False,Mid
Turbo Blast,XSX,Shooter,Crystal Systems,2020,1.98,72,7.4,T,58,24.3,JP,False,Mid
Bullet Odyssey,PS2,Shooter,Crystal Designs,2012,2.33,80,7.5,E,24,6.8,JP,False,High
Rage Saga,XOne,Action,Thunder Studios,2013,0.68,69,7.4,M,33,22.8,EU,True,Mid
Vintage Quest,PS2,Indie,Thunder Studios,2010,0.01,75,7.3,E,6,3.7,Other,False,Mid
Lord Game: Revival,PS5,Sports,Green Systems,2020,0.04,69,6.7,E,40,19.4,JP,False,Mid
Sim Legends 4,PS4,Simulation,Storm Interactive,2013,0.47,81,7.6,T,42,32.3,NA,False,High
Finish Epic,SNES,Racing,Lightning Systems,1998,0.22,62,6.5,E10+,18,13.5,Other,False,Low
Brain Saga 4,Switch,Puzzle,Purple Designs,2020,0.19,66,6.7,RP,5,3.6,NA,True,Mid
Journey Journey,X360,Adventure,Purple Studios,2005,0.52,86,7.8,E,17,5.5,Other,False,High
Empire Chronicles,PS2,Role-Playing,Thunder Studios,2012,0.21,78,7.9,E,22,12.5,Other,False,Mid
Legend Tournament,PS4,Sports,Stellar Systems,2013,0.15,81,8.8,E,34,16.7,EU,True,High
Alien Nitro 2,XSX,Racing,Digital Productions,2020,0.03,67,6.4,E,37,46.0,Other,False,Mid
Snake Circuit,NES,Racing,Digital Productions,1994,0.18,81,8.5,M,24,16.0,NA,False,High
Games Odyssey,GC,Party,Golden Entertainment,2006,0.09,72,7.1,T,11,10.0,Other,True,Mid
Game Quest,PS1,Sports,Crystal Designs,2005,0.33,73,7.5,E,14,3.8,JP,False,Mid
Bullet Chronicles,WiiU,Shooter,Legendary Entertainment,2015,1.31,79,7.2,M,43,54.9,JP,False,Mid
Bridge Chronicles,XOne,Role-Playing,Cosmic Entertainment,2013,0.82,65,6.5,M,35,24.2,JP,False,Mid
Brawl Legends,PS5,Fighting,Legendary Entertainment,2020,0.16,75,8.1,M,38,9.9,NA,False,Mid
Bundle Legends 3,PS4,Party,Cosmic Entertainment,2019,0.54,81,7.6,E10+,32,26.7,EU,False,High
Bat Expedition,PS4,Adventure,Green Labs,2013,0.3,68,7.1,T,52,33.5,EU,False,Mid
Nitro Saga,PS1,Racing,Cyber Studios,2005,0.76,67,7.6,M,11,3.9,JP,False,Mid
Monster Launch,XOne,Platform,Cosmic Entertainment,2017,0.76,70,6.9,M,50,29.5,JP,False,Mid
Farm Stories,XSX,Simulation,Crystal Designs,2020,0.13,77,7.7,E10+,30,20.8,JP,False,Mid
Max Bounce,Wii,Platform,Red Entertainment,2013,0.03,56,5.2,E10+,16,6.9,EU,False,Low
Pirate Classic,NES,Indie,Cosmic Studios,1994,0.15,68,6.4,M,3,0.7,EU,True,Mid
Trophy Journey,PS5,Sports,Green Systems,2020,0.08,84,8.2,E,44,14.0,JP,False,High
Shot Journey,XOne,Shooter,Thunder Studios,2020,0.13,73,7.9,M,42,44.0,Other,False,Mid
Path Stories 3,WiiU,Role-Playing,Purple Studios,2012,0.2,64,6.0,T,23,11.4,Other,True,Low
Mix Adventure,SNES,Party,Digital Productions,1998,0.03,72,6.7,E,13,6.7,EU,True,Mid
Kingdom Quest 5,XSX,Role-Playing,Crystal Designs,2020,0.22,83,9.1,E,61,20.4,NA,False,High
Zoo Chronicles: Revenge,PS4,Simulation,Red Entertainment,2013,0.65,63,6.7,E10+,35,28.2,Other,True,Low
Collection Epic,GC,Party,Mystic Labs,2007,0.08,81,8.5,M,13,2.3,NA,False,High
Game Epic,SNES,Sports,Cyber Entertainment,1998,1.84,86,8.4,E,16,3.0,Other,False,High
Quest Odyssey,PS4,Adventure,Digital Productions,2013,0.29,73,6.6,T,48,31.2,Other,True,Mid
Hyper Warrior,PC,Action,Legendary Entertainment,2017,0.97,79,8.8,T,69,19.8,NA,False,Mid
Ring Odyssey 5,PS1,Fighting,Lightning Games,1994,0.15,70,6.8,E,11,8.9,NA,True,Mid
Trophy Odyssey,Wii,Sports,Mystic Labs,2006,0.1,65,6.5,E,24,8.7,Other,False,Mid
Bundle Tales,N64,Party,Stellar Systems,2002,0.23,62,6.3,E,19,7.6,NA,False,Low
Prince Logic: Revival,NES,Puzzle,Legendary Entertainment,1994,0.01,65,6.3,T,3,1.2,Other,False,Mid
Path Chronicles 3,XSX,Role-Playing,Storm Games,2020,0.9,77,7.4,E,73,68.3,Other,False,Mid
Arena Legends,PC,Fighting,Cyber Studios,2014,0.11,69,7.3,E,34,16.4,EU,False,Mid
Arena Saga,SNES,Fighting,Legendary Entertainment,1998,0.29,66,7.1,E,15,5.7,JP,False,Mid
Path Quest,SNES,Role-Playing,Storm Studios,1998,0.44,60,6.4,T,29,14.4,NA,False,Low
Kingdom Saga,GC,Role-Playing,Storm Games,2007,0.44,85,7.8,T,19,8.7,JP,False,High
Conquest Quest,XOne,Strategy,Green Designs,2013,0.28,78,7.5,M,44,17.7,EU,False,Mid
Arcade Saga,XOne,Indie,Silver Labs,2013,0.02,62,7.0,E,14,13.5,Other,False,Low
Victory Legends,GC,Sports,Cosmic Productions,2006,0.67,69,6.8,T,12,6.4,NA,False,Mid
Tiger Aim,PC,Shooter,Green Designs,2020,0.07,73,7.3,RP,77,59.6,EU,False,Mid
Collection Odyssey,Wii,Party,Storm Interactive,2006,0.31,86,8.1,E,12,10.3,EU,True,High
Arcade Legends 4,PS2,Indie,Legendary Entertainment,2012,0.47,91,9.5,T,5,2.7,JP,False,Top
Mind Odyssey 2,PC,Puzzle,Stellar Entertainment,2013,0.02,89,8.8,E10+,29,6.0,NA,True,High
Collection Quest,N64,Party,Crystal Designs,2002,0.44,80,7.4,E,14,6.1,Other,False,High
Zoo Epic,PS1,Simulation,Thunder Games,2005,0.08,98,9.7,E,11,2.6,Other,False,Top
Retro Stories,XOne,Indie,Thunder Games,2013,0.15,75,8.1,E10+,25,17.8,NA,False,Mid
Variety Stories,PS4,Party,Thunder Studios,2013,0.37,64,5.8,RP,40,21.2,JP,False,Low
Vintage Saga,X360,Indie,Green Labs,2011,0.05,71,7.6,E10+,7,2.1,JP,True,Mid
Puzzle Tales,PS5,Puzzle,Storm Studios,2020,0.01,77,7.9,M,23,7.7,NA,False,Mid
Snake Strike,PS1,Action,Silver Creations,2005,0.33,68,6.5,E,23,16.2,Other,False,Mid
Lap Journey,PS2,Racing,Red Entertainment,2008,0.52,79,7.4,T,20,9.9,EU,False,Mid
Attack Legends,PS4,Strategy,Silver Creations,2013,0.03,73,7.7,E10+,27,27.8,Other,False,Mid
Turbo Bundle,Switch,Party,Stellar Systems,2019,0.93,73,6.6,E10+,14,5.2,EU,False,Mid
Realm Epic,Switch,Role-Playing,Purple Designs,2017,0.55,61,6.0,T,30,8.0,Other,False,Low
Ninja Adventure 3,PC,Adventure,Lightning Systems,2019,0.28,63,5.0,T,30,11.8,EU,True,Low
Zoo Adventure 5,PS3,Simulation,Cosmic Studios,2006,0.45,90,8.4,E,18,10.5,JP,False,Top
Universe Tales,Wii,Role-Playing,Digital Productions,2006,0.06,66,7.2,M,39,22.7,EU,False,Mid
Lion Realm 5,SNES,Role-Playing,Stellar Systems,1998,0.18,73,7.8,E10+,35,16.8,Other,True,Mid
Assortment Quest,PS4,Party,Purple Designs,2013,0.2,57,5.9,E,13,13.4,EU,False,Low
Target Saga,XOne,Shooter,Digital Productions,2019,2.88,86,8.0,E,52,26.3,NA,True,High
Match Odyssey,WiiU,Sports,Purple Studios,2012,0.59,89,8.8,T,16,4.6,Other,True,High
Realm Odyssey,N64,Role-Playing,Stellar Entertainment,2002,0.61,80,8.5,E,41,15.5,NA,False,High
Robot Trophy 5,PS4,Sports,Blue Games,2020,0.63,72,6.6,T,17,7.6,NA,True,Mid
Clash Saga,PS5,Fighting,Cosmic Labs,2020,0.71,81,8.4,M,34,26.7,NA,False,High
Dragon Duel,PS2,Fighting,Thunder Studios,2000,0.2,76,6.8,E,6,2.7,JP,False,Mid
Mystery Epic,PC,Puzzle,Legendary Entertainment,2012,0.12,63,6.1,E,11,5.9,Other,False,Low
Indie Adventure 5,X360,Indie,Cyber Entertainment,2014,0.12,80,8.0,E,3,1.0,NA,True,High
Classic Legends 3,Switch,Indie,Cosmic Productions,2017,0.31,72,6.3,T,6,2.6,Other,False,Mid
Park Journey 4,SNES,Simulation,Thunder Games,1998,0.14,81,8.4,E,12,6.6,JP,True,High
Owl Attack 5,X360,Strategy,Green Labs,2008,0.08,79,8.2,E,17,8.6,JP,False,Mid
Fire Adventure 5,PS2,Shooter,Crystal Games,2010,0.25,67,6.0,M,23,16.0,JP,False,Mid
Cat Arena,PS2,Fighting,Crystal Games,2008,0.19,62,5.9,M,8,5.0,EU,True,Low
Solve Adventure,GC,Puzzle,Green Systems,2007,0.08,75,6.9,E10+,5,2.3,EU,False,Mid
Tactics Legends,PC,Strategy,Digital Productions,1989,0.14,66,7.1,M,40,18.1,JP,True,Mid
Mystery Journey,PC,Puzzle,Blue Designs,2020,0.03,61,5.9,T,18,8.7,EU,True,Low
Ultimate Victory,PS2,Sports,Epic Systems,2012,0.72,75,7.9,M,10,4.6,NA,True,Mid
Target Legends,Switch,Shooter,Cosmic Games,2017,0.16,57,4.9,RP,24,13.0,NA,False,Low
Lion Universe: Rising,GC,Role-Playing,Storm Studios,2007,0.37,68,6.1,E,32,9.4,NA,True,Mid
Tactics Saga,X360,Strategy,Green Designs,2007,0.01,87,8.5,T,13,3.9,Other,True,High
Target Legends 2,Switch,Shooter,Cosmic Labs,2017,0.14,84,8.1,T,38,12.3,EU,False,High
Leap Legends,Switch,Platform,Cosmic Studios,2017,0.22,83,8.3,T,20,10.2,NA,False,High
Old Odyssey,GC,Indie,Digital Productions,2007,0.24,66,6.1,T,4,1.8,NA,False,Mid
Monster Shot,PS4,Shooter,Purple Works,2018,1.11,81,8.7,E,62,62.7,EU,False,High
Leap Legends,Switch,Platform,Purple Labs,2017,0.11,55,5.4,E10+,12,2.8,NA,False,Low
Boost Journey,Switch,Platform,Crystal Games,2017,1.46,91,9.1,T,10,8.3,Other,False,Top
Cup Stories 4,PS4,Sports,Green Labs,2013,0.54,64,6.8,RP,35,23.3,EU,True,Low
Crow League,XSX,Sports,Neon Designs,2020,0.62,78,7.2,T,43,39.3,EU,False,Mid
Think Tales,NES,Puzzle,Storm Interactive,1994,0.05,62,6.5,M,5,1.4,EU,False,Low
Empire Stories 3,WiiU,Role-Playing,Stellar Systems,2012,0.22,66,6.0,M,29,8.2,Other,False,Mid
Attack Adventure,GC,Strategy,Thunder Studios,2001,0.03,65,6.2,T,6,1.7,EU,False,Mid
Quest Tales,PS4,Adventure,Neon Designs,2013,0.69,64,5.7,M,26,16.2,JP,True,Low
Crow Storm,N64,Action,Purple Studios,2002,3.01,62,6.6,RP,19,9.2,JP,True,Low
Max Resort 2,NES,Simulation,Cyber Studios,1994,0.05,76,7.6,E,19,12.1,EU,False,Mid
Restaurant Saga,GC,Simulation,Thunder Studios,2002,0.69,82,8.1,T,7,3.6,Other,True,High
Solve Stories: Revenge,PC,Puzzle,Thunder Studios,2006,0.1,97,9.2,E10+,31,14.1,EU,False,Top
Warrior Season,X360,Sports,Mystic Labs,2005,0.06,64,6.4,M,9,5.3,JP,True,Low
Storm Odyssey,PS1,Action,Purple Designs,2005,0.89,70,7.0,M,39,11.7,EU,True,Mid
Speed Chronicles,GC,Platform,Green Labs,2001,0.02,55,5.3,T,9,4.3,Other,False,Low
Zoo Chronicles,PS3,Simulation,Thunder Games,2008,0.31,86,8.6,T,18,5.1,EU,False,High
Storm Epic: Redemption,PS1,Action,Digital Productions,2005,0.01,85,8.5,T,10,4.7,JP,False,High
Mini Epic,Switch,Party,Digital Productions,2017,0.27,86,8.1,M,11,5.3,JP,False,High
Adventure Legends 2,WiiU,Adventure,Stellar Entertainment,2014,0.01,65,5.8,M,13,2.7,JP,True,Mid
Hyper Enigma,Wii,Puzzle,Thunder Studios,2007,0.03,71,7.1,E,3,2.6,EU,True,Mid
Bullet Chronicles,X360,Shooter,Neon Designs,2016,0.01,63,6.9,E10+,27,16.7,NA,False,Low
Leap Quest: Return,Switch,Platform,Red Entertainment,2017,0.51,71,7.1,M,17,5.0,Other,True,Mid
Portal Chronicles,PC,Role-Playing,Cosmic Labs,2001,0.44,66,6.3,E10+,45,14.9,Other,False,Mid
Ring Legends 2,PS4,Fighting,Digital Productions,2020,0.11,50,5.9,T,34,39.2,Other,False,Low
Discovery Stories,XOne,Adventure,Crystal Games,2013,0.26,67,6.4,M,38,28.3,EU,True,Mid
Resort Saga 2,Wii,Simulation,Digital Productions,2013,0.32,84,8.1,M,21,7.5,NA,True,High
Rat Logic,N64,Puzzle,Epic Systems,2002,0.35,77,7.1,E10+,6,3.9,EU,True,Mid
Brawl Adventure,PS5,Fighting,Silver Labs,2020,0.2,70,6.9,M,17,11.7,Other,False,Mid
Brawl Epic,PS3,Fighting,Legendary Entertainment,2006,0.45,77,7.4,T,13,3.6,Other,False,Mid
Dragon Shot 2,Switch,Shooter,Legendary Entertainment,2024,2.96,84,9.8,E,11,7.6,NA,True,High
Fire Journey 2,WiiU,Shooter,Thunder Entertainment,2012,0.32,75,7.6,M,38,33.6,EU,False,Mid
Ring Adventure 4,X360,Fighting,Stellar Systems,2005,0.62,82,7.6,E10+,7,1.8,Other,False,High
Pro Empire 2,XSX,Role-Playing,Green Systems,2020,1.24,71,7.4,M,12,14.6,JP,True,Mid
Lion Voyage,Switch,Adventure,Crystal Systems,2017,1.16,90,9.8,M,17,6.4,NA,False,Top
Season Tales,N64,Sports,Blue Games,1996,0.01,76,7.5,T,21,6.2,NA,False,Mid
Life Legends,PC,Simulation,Purple Designs,2010,0.15,63,6.0,T,52,15.9,NA,True,Low
Clash Journey,SNES,Fighting,Purple Studios,1998,0.06,71,6.2,M,15,10.4,JP,False,Mid
World Quest,X360,Simulation,Green Designs,2005,0.62,68,6.8,M,10,4.0,Other,False,Mid
Mage Restaurant: Awakening,N64,Simulation,Legendary Entertainment,2002,0.26,62,5.8,E10+,26,16.8,JP,False,Low
Simple Chronicles,PC,Indie,Thunder Interactive,2014,0.06,82,8.2,E,29,4.6,JP,False,High
Prince Defense,PC,Strategy,Stellar Systems,2007,0.01,70,7.3,M,17,5.4,Other,False,Mid
Lap Legends,GC,Racing,Thunder Studios,2007,0.43,81,8.2,M,12,3.9,EU,True,High
Drive Tales,WiiU,Racing,Stellar Systems,2017,0.3,77,7.9,T,12,7.5,EU,False,Mid
Old Epic,WiiU,Indie,Epic Systems,2015,0.11,73,7.6,M,3,1.3,NA,True,Mid
